Year	Primary sector	Secondary sector	Tertiary sector
1950-51	83707.558270422	20342.17772152632	40159.93788228863
1951-52	85181.87261941469	21231.946262846803	41243.99348879518
1952-53	87848.0870224784	21320.981145178983	42520.33465521619
1953-54	94465.15230048518	22707.206202674868	43762.46172124595
1954-55	97274.68927531106	24620.54993422135	45857.53115770418
1955-56	96496.28229885359	27297.996047429035	48201.093228915204
1956-57	101732.3683335508	29670.78241296143	50522.35353035627
1957-58	97459.6438184569	29497.15662879779	52440.07440224804
1958-59	107079.61519064318	31542.977392817185	54665.8629677696
1959-60	106184.53502554997	33771.559993558476	57428.58593394675
1960-61	113592.20432786897	37243.43562818579	60782.91496683979
1961-62	113892.01990924495	39962.66248912552	64097.72167877775
1962-63	112151.68549476544	42550.69203497795	67771.81510599147
1963-64	114801.6339186918	47020.62580202312	71850.14061884052
1964-65	125051.02363887733	50454.67380359743	76013.70499916817
1965-66	112253.30877393277	51900.968917856444	78161.33222808022
1966-67	110843.85715025433	53571.435555806805	80573.741950126
1967-68	126726.89393836028	55110.46343646979	83715.97793008944
1968-69	126682.47717330416	58008.51441568427	87563.34224635691
1969-70	134745.03814489083	62838.72569467897	92112.31131188452
1970-71	142581.0	58997.0	95331.0
1971-72	140142.0	60582.0	98723.0
1972-73	133699.0	62699.0	101675.0
1973-74	142988.0	63363.0	105076.0
1974-75	141185.0	64217.0	109797.0
1975-76	159337.0	68145.0	117267.0
1976-77	150766.0	74448.0	122673.0
1977-78	165410.0	79827.0	128745.0
1978-79	169248.0	86239.0	137430.0
1979-80	148663.0	83274.0	140436.0
1980-81	167770.0	86605.0	146753.0
1981-82	177341.0	93029.0	154702.0
1982-83	177300.0	95695.0	165084.0
1983-84	193508.0	103992.0	174242.0
1984-85	196353.0	110474.0	185250.0
1985-86	198353.0	115689.0	199948.0
1986-87	198740.0	122847.0	214670.0
1987-88	196735.0	131417.0	228626.0
1988-89	227095.0	142738.0	245265.0
1989-90	231389.0	157979.0	266964.0
1990-91	242012.0	169703.0	281156.0
1991-92	239253.0	167967.0	294643.0
1992-93	252205.0	175175.0	310411.0
1993-94	262059.0	185070.0	334216.0
1994-95	276049.0	204092.0	357890.0
1995-96	275153.0	229098.0	395312.0
1996-97	299461.0	246848.0	423773.0
1997-98	295051.0	256121.0	465423.0
1998-99	312485.0	265955.0	504307.0
1999-00	314252.0	279066.0	555049.0
2000-01	314585.0	298472.0	585535.0
2001-02	333274.0	309557.0	625114.0
2002-03	314578.0	329212.0	674572.0
2003-04	343806.0	351046.0	735696.0
2004-05	348880.0	379060.0	801468.0
2005-06	372891.33869038924	421952.8260288979	870188.9674046404
2006-07	389393.10449655214	469244.4571975728	969529.2508459312
2007-08	407681.2593878734	508858.9939807414	1076157.4764122302
2008-09	415030.5741358511	527717.9529100903	1179197.5793367266
