Year	% Primary	% Secondary	% Tertiary
1950-51	58.05	14.11	27.85
1951-52	57.69	14.38	27.93
1952-53	57.91	14.06	28.03
1953-54	58.7	14.11	27.19
1954-55	57.99	14.68	27.34
1955-56	56.1	15.87	28.02
1956-57	55.92	16.31	27.77
1957-58	54.33	16.44	29.23
1958-59	55.4	16.32	28.28
1959-60	53.8	17.11	29.09
1960-61	53.68	17.6	28.72
1961-62	52.26	18.34	29.41
1962-63	50.41	19.13	30.46
1963-64	49.13	20.12	30.75
1964-65	49.72	20.06	30.22
1965-66	46.33	21.42	32.26
1966-67	45.24	21.87	32.89
1967-68	47.72	20.75	31.53
1968-69	46.53	21.31	32.16
1969-70	46.51	21.69	31.8
1970-71	48.02	19.87	32.11
1971-72	46.8	20.23	32.97
1972-73	44.85	21.03	34.11
1973-74	45.91	20.35	33.74
1974-75	44.79	20.37	34.83
1975-76	46.22	19.77	34.02
1976-77	43.34	21.4	35.26
1977-78	44.23	21.35	34.43
1978-79	43.07	21.95	34.98
1979-80	39.92	22.36	37.71
1980-81	41.82	21.59	36.59
1981-82	41.72	21.89	36.39
1982-83	40.47	21.84	37.68
1983-84	41.02	22.04	36.94
1984-85	39.9	22.45	37.65
1985-86	38.59	22.51	38.9
1986-87	37.06	22.91	40.03
1987-88	35.33	23.6	41.06
1988-89	36.92	23.21	39.87
1989-90	35.25	24.07	40.68
1990-91	34.93	24.49	40.58
1991-92	34.09	23.93	41.98
1992-93	34.18	23.74	42.07
1993-94	33.54	23.69	42.77
1994-95	32.94	24.35	42.71
1995-96	30.59	25.47	43.94
1996-97	30.87	25.45	43.68
1997-98	29.02	25.19	45.78
1998-99	28.86	24.56	46.58
1999-00	27.37	24.3	48.33
2000-01	26.25	24.9	48.85
2001-02	26.28	24.41	49.3
2002-03	23.86	24.97	51.17
2003-04	24.03	24.54	51.43
2004-05	23.19	25.13	51.68
2005-06	22.4	25.34	52.26
2006-07	21.3	25.67	53.03
2007-08	20.46	25.54	54.01
