Year	% Trade, hotels, transport & communication	% Financing, insurance, real estate & business services	% Community, social & personal services	% Tertiary
1993-94	13.56	11.95	15.03	40.55
1994-95	17.05	13.18	14.92	45.15
1995-96	15.55	18.68	13.70	47.93
1996-97	14.99	21.31	12.14	48.44
1997-98	14.04	20.81	12.88	47.73
1998-99	17.09	15.70	12.40	45.19
1999-00	13.81	16.93	12.65	43.39
2000-01	15.47	13.42	13.38	42.27
2001-02	11.70	16.42	13.04	41.16
2002-03	17.28	13.10	12.19	42.57
2003-04	16.04	17.64	11.91	45.6
2004-05	26.80	12.24	7.53	46.57
2005-06	26.48	12.33	7.05	45.86
2006-07	26.23	13.07	7.01	46.31
2007-08	26.04	14.47	7.40	47.91
2008-09	28.31	14.70	7.41	50.42
2009-10	32.23	14.48	7.29	53.99
2010-11	33.15	13.90	8.58	55.62
2011-12	42.29	13.06	8.10	63.45
2012-13	43.72	13.85	8.91	66.47
2013-14	43.01	14.51	9.73	67.25
